camera_id,runA_frame,runB_frame,confidence,posterior_probability,posterior_no_correspondence,confidence_is_calibrated_probability,status,method,motion_channel
cam5,1606,1526,0.993148,0.993148,0.000554,True,accepted_posterior,bayes-hmm-v1,true
cam5,1607,1527,0.992201,0.992201,0.000525,True,accepted_posterior,bayes-hmm-v1,true
cam5,1608,1528,0.994704,0.994704,0.000565,True,accepted_posterior,bayes-hmm-v1,true
cam5,1609,1529,0.989187,0.989187,0.000568,True,accepted_posterior,bayes-hmm-v1,true
cam5,1610,1530,0.971634,0.971634,0.000708,True,accepted_posterior,bayes-hmm-v1,true
cam5,1611,1531,0.918752,0.918752,0.000829,True,accepted_posterior,bayes-hmm-v1,true
cam5,1612,1532,0.892978,0.892978,0.001097,True,accepted_posterior,bayes-hmm-v1,true
cam5,1613,1533,0.897859,0.897859,0.000795,True,accepted_posterior,bayes-hmm-v1,true
cam5,1614,1534,0.877876,0.877876,0.000688,True,accepted_posterior,bayes-hmm-v1,true
cam5,1615,1536,0.956396,0.956396,0.000738,True,accepted_posterior,bayes-hmm-v1,true
cam5,1616,1538,0.97294,0.97294,0.000711,True,accepted_posterior,bayes-hmm-v1,true
cam5,1617,1539,0.97663,0.97663,0.000612,True,accepted_posterior,bayes-hmm-v1,true
cam5,1618,1540,0.981096,0.981096,0.000696,True,accepted_posterior,bayes-hmm-v1,true
cam5,1619,1542,0.985197,0.985197,0.000749,True,accepted_posterior,bayes-hmm-v1,true
cam5,1620,1542,0.941375,0.941375,0.000638,True,accepted_posterior,bayes-hmm-v1,true
cam5,1621,1544,0.987733,0.987733,0.000636,True,accepted_posterior,bayes-hmm-v1,true
cam5,1622,1545,0.982802,0.982802,0.000541,True,accepted_posterior,bayes-hmm-v1,true
cam5,1623,1546,0.991306,0.991306,0.000432,True,accepted_posterior,bayes-hmm-v1,true
cam5,1624,1547,0.992214,0.992214,0.000328,True,accepted_posterior,bayes-hmm-v1,true
cam5,1625,1547,0.994061,0.994061,0.000325,True,accepted_posterior,bayes-hmm-v1,true
cam5,1626,1548,0.98962,0.98962,0.000392,True,accepted_posterior,bayes-hmm-v1,true
cam5,1627,1549,0.974148,0.974148,0.000571,True,accepted_posterior,bayes-hmm-v1,true
cam5,1628,1550,0.97096,0.97096,0.000859,True,accepted_posterior,bayes-hmm-v1,true
cam5,1629,1552,0.959353,0.959353,0.001204,True,accepted_posterior,bayes-hmm-v1,true
cam5,1630,1553,0.941439,0.941439,0.001408,True,accepted_posterior,bayes-hmm-v1,true
cam5,1631,1554,0.968863,0.968863,0.000567,True,accepted_posterior,bayes-hmm-v1,true
cam5,1632,1556,0.994055,0.994055,0.000389,True,accepted_posterior,bayes-hmm-v1,true
cam5,1633,1557,0.995895,0.995895,0.000356,True,accepted_posterior,bayes-hmm-v1,true
cam5,1634,1558,0.994156,0.994156,0.000362,True,accepted_posterior,bayes-hmm-v1,true
cam5,1635,1559,0.980381,0.980381,0.000516,True,accepted_posterior,bayes-hmm-v1,true
cam5,1636,1560,0.969042,0.969042,0.000674,True,accepted_posterior,bayes-hmm-v1,true
cam5,1637,1562,0.964992,0.964992,0.000562,True,accepted_posterior,bayes-hmm-v1,true
cam5,1638,1562,0.980196,0.980196,0.000421,True,accepted_posterior,bayes-hmm-v1,true
cam5,1639,1564,0.994463,0.994463,0.00032,True,accepted_posterior,bayes-hmm-v1,true
cam5,1640,1565,0.995175,0.995175,0.000335,True,accepted_posterior,bayes-hmm-v1,true
cam5,1641,1567,0.961307,0.961307,0.00043,True,accepted_posterior,bayes-hmm-v1,true
cam5,1642,1567,0.982675,0.982675,0.000541,True,accepted_posterior,bayes-hmm-v1,true
cam5,1643,1568,0.983287,0.983287,0.00061,True,accepted_posterior,bayes-hmm-v1,true
cam5,1644,1570,0.987065,0.987065,0.000713,True,accepted_posterior,bayes-hmm-v1,true
cam5,1645,1570,0.982877,0.982877,0.000656,True,accepted_posterior,bayes-hmm-v1,true
cam5,1646,1572,0.994097,0.994097,0.000527,True,accepted_posterior,bayes-hmm-v1,true
cam5,1647,1573,0.995414,0.995414,0.000463,True,accepted_posterior,bayes-hmm-v1,true
cam5,1648,1573,0.987723,0.987723,0.000458,True,accepted_posterior,bayes-hmm-v1,true
cam5,1649,1575,0.993908,0.993908,0.00057,True,accepted_posterior,bayes-hmm-v1,true
cam5,1650,1575,0.98267,0.98267,0.000731,True,accepted_posterior,bayes-hmm-v1,true
cam5,1651,1577,0.984949,0.984949,0.000891,True,accepted_posterior,bayes-hmm-v1,true
cam5,1652,1578,0.969902,0.969902,0.000992,True,accepted_posterior,bayes-hmm-v1,true
cam5,1653,1579,0.968334,0.968334,0.001038,True,accepted_posterior,bayes-hmm-v1,true
cam5,1654,1580,0.955257,0.955257,0.001174,True,accepted_posterior,bayes-hmm-v1,true
cam5,1655,1582,0.95613,0.95613,0.001422,True,accepted_posterior,bayes-hmm-v1,true
cam5,1656,1584,0.941417,0.941417,0.001354,True,accepted_posterior,bayes-hmm-v1,true
cam5,1657,1584,0.959041,0.959041,0.001199,True,accepted_posterior,bayes-hmm-v1,true
cam5,1658,1586,0.963857,0.963857,0.001041,True,accepted_posterior,bayes-hmm-v1,true
cam5,1659,1586,0.91812,0.91812,0.001127,True,accepted_posterior,bayes-hmm-v1,true
cam5,1660,1588,0.962846,0.962846,0.001013,True,accepted_posterior,bayes-hmm-v1,true
cam5,1661,1589,0.954673,0.954673,0.000844,True,accepted_posterior,bayes-hmm-v1,true
cam5,1662,1591,0.950057,0.950057,0.000717,True,accepted_posterior,bayes-hmm-v1,true
cam5,1663,1592,0.97034,0.97034,0.000596,True,accepted_posterior,bayes-hmm-v1,true
cam5,1664,1592,0.978943,0.978943,0.000499,True,accepted_posterior,bayes-hmm-v1,true
cam5,1665,1593,0.985032,0.985032,0.000488,True,accepted_posterior,bayes-hmm-v1,true
cam5,1666,1594,0.987275,0.987275,0.000475,True,accepted_posterior,bayes-hmm-v1,true
cam5,1667,1595,0.979858,0.979858,0.000516,True,accepted_posterior,bayes-hmm-v1,true
cam5,1668,1596,0.972969,0.972969,0.000454,True,accepted_posterior,bayes-hmm-v1,true
cam5,1669,1597,0.973044,0.973044,0.000453,True,accepted_posterior,bayes-hmm-v1,true
